Player,Tm,POS,AGE,GP,MPG,MIN,USG,TO,FTA,FT,2PA,PP,3PA,PPP,eFG,TS,PPG,RPG,TRB,APG,AST,SPG,BPG,TOPG,VI,ORTG,DRTG
Torrey Craig,PHO,SF,30.41,32,18.8,39.2,15.5,9.5,20,0.8,97,0.619,84,0.369,0.588,0.603,7.2,4.8,14.5,1,7.4,0.59,0.59,0.63,6.9,121.2,102.9
Jae Crowder,PHO,PF,30.86,60,27.5,57.2,15.7,9.5,75,0.76,112,0.455,380,0.389,0.555,0.574,10.1,4.7,9.7,2.1,10,0.82,0.43,0.92,6.7,112.9,106.4
Langston Galloway,PHO,PG,29.44,40,10.9,22.8,17.3,7.6,23,0.957,62,0.484,85,0.424,0.571,0.605,4.8,1.1,5.4,0.7,8,0.2,0,0.33,5.7,117.4,111.3
Cameron Johnson,PHO,PG,25.2,60,24,49.9,17,7.3,59,0.847,148,0.581,335,0.349,0.541,0.563,9.6,3.3,7.9,1.4,8,0.62,0.27,0.67,5.9,111.9,109.6
Damian Jones,PHO,C,25.88,14,6.7,13.9,12.8,22.4,11,0.545,15,0.533,1,0,0.5,0.528,1.6,1.3,10.9,0.3,5.3,0.07,0.36,0.43,5.1,100.4,94
Frank Kaminsky,PHO,C,28.12,47,15.2,31.7,19,7.2,60,0.617,172,0.523,85,0.365,0.531,0.547,6.6,4,14.9,1.7,15.3,0.3,0.36,0.47,9.4,116.6,102.9
E'Twaun Moore,PHO,SG,32.22,27,14.4,30,17.2,15.3,14,0.857,86,0.512,35,0.314,0.5,0.523,4.9,1.7,6.6,1.5,13.7,0.56,0.19,0.85,6.4,102.9,107
Abdel Nader,PHO,PF,27.64,24,14.8,30.8,19,12.6,37,0.757,73,0.534,43,0.419,0.569,0.605,6.7,2.6,9.9,0.8,7.3,0.42,0.38,0.79,6.5,110.4,104.1
Chris Paul,PHO,PG,36.03,70,31.4,65.5,22.6,14,181,0.934,621,0.543,258,0.395,0.557,0.599,16.4,4.4,8,8.9,40.8,1.43,0.26,2.23,11,123.7,106
Cameron Payne,PHO,PG,26.77,60,18,37.5,19.8,12.5,56,0.893,229,0.515,166,0.44,0.576,0.602,8.4,2.4,7.6,3.6,28.1,0.6,0.27,1,9.3,121.3,105.5
Dario Saric,PHO,PF,27.11,50,17.4,36.3,22.6,12.9,99,0.848,207,0.512,135,0.348,0.516,0.567,8.7,3.8,12.4,1.3,10.4,0.6,0.08,1.14,8.1,109,101.9
Jalen Smith,PHO,C,21.17,27,5.8,12,17.2,11.7,7,0.714,33,0.545,17,0.235,0.48,0.499,2,1.4,13.5,0.1,3.4,0.04,0.19,0.26,4.5,96.2,103.7
Carmelo Anthony,POR,PF,36.97,69,24.5,51,23.1,6.7,156,0.891,452,0.429,325,0.409,0.506,0.548,13.4,3.1,6.8,1.5,9.2,0.67,0.55,0.88,6.5,111.4,111.1
Keljin Blevins,POR,SG,25.48,17,4.4,9.2,14.4,20,0,0,12,0.25,8,0.25,0.3,0.3,0.7,0.6,7.1,0.2,6.7,0.12,0,0.29,4,66.2,109.2
Robert Covington,POR,SF,30.42,70,32,66.8,11.5,10.7,62,0.806,153,0.451,356,0.379,0.533,0.553,8.5,6.7,11.1,1.7,6.8,1.44,1.2,0.91,5.7,112.2,107.8
CJ Elleby,POR,SF,20.92,30,6.4,13.4,17.4,6.4,15,0.733,32,0.563,34,0.206,0.432,0.468,2.3,1.1,8.9,0.3,7.1,0.2,0.1,0.17,5.7,104.4,104.7
Harry Giles III,POR,PF,23.07,38,9.2,19.1,15.9,15.5,27,0.593,74,0.459,23,0.348,0.474,0.496,2.8,3.5,20.4,0.8,11.3,0.21,0.34,0.53,8.6,105.8,98.5
Rondae Hollis-Jefferson,POR,SF,26.37,11,9.8,20.3,10.8,7.4,16,0.563,17,0.529,1,0,0.5,0.539,2.5,2.4,12.9,1.2,15.6,0.18,0.36,0.18,7.9,134.5,104.7
Rodney Hood,POR,PF,28.57,38,19.1,39.8,14.1,13.1,12,0.75,117,0.41,84,0.298,0.425,0.436,4.7,1.9,5.4,1.2,8.5,0.53,0.11,0.82,4.6,91.1,112.5
Derrick Jones Jr.,POR,SF,24.25,58,22.7,47.3,12.3,8.5,91,0.648,168,0.619,136,0.316,0.554,0.576,6.8,3.5,8.3,0.8,4.8,0.64,0.93,0.55,4.7,120.1,110.1
Enes Kanter,POR,C,28.99,72,24.4,50.8,17.4,11,164,0.774,557,0.607,4,0.25,0.605,0.636,11.2,11,24.2,1.2,7.2,0.46,0.67,1.08,8.7,132.3,105.5
T.J. Leaf,POR,PF,24.05,7,5.1,10.5,15.7,15.5,2,1,10,0.5,0,0,0.5,0.551,1.7,0.7,7.5,0.1,3.9,0.29,0.14,0.29,3.9,96.7,114.7
Damian Lillard,POR,PG,30.84,67,35.8,74.6,31.4,11.6,482,0.927,630,0.519,704,0.391,0.554,0.623,28.7,4.2,6.3,7.5,34.6,0.93,0.25,3.03,10.8,124.8,116.1
Nassir Little,POR,SF,21.26,48,13.3,27.8,13.8,8.8,45,0.8,87,0.575,80,0.35,0.551,0.589,4.6,2.7,10.7,0.5,4.9,0.1,0.27,0.38,5.5,120.1,111.9
CJ McCollum,POR,PG,29.66,47,34,70.9,27.1,6.4,133,0.812,464,0.509,420,0.402,0.554,0.577,23.1,3.9,6.2,4.7,23,0.94,0.45,1.36,8.8,120,114.9
Jusuf Nurkic,POR,C,26.73,37,23.8,49.6,22.3,16,113,0.619,303,0.525,30,0.4,0.532,0.554,11.5,9,20.2,3.4,21.4,1.03,1.08,1.97,11.9,112.7,101.8
Norman Powell,POR,SG,27.98,27,34.4,71.6,20.5,9.7,108,0.88,205,0.502,147,0.361,0.518,0.576,17,3.3,5.1,1.9,8.1,1.3,0.37,1.59,5.5,113.4,113.6
Anfernee Simons,POR,SG,21.94,64,17.3,36,18.3,9.2,57,0.807,120,0.4,281,0.427,0.569,0.589,7.8,2.2,6.8,1.4,11.4,0.28,0.13,0.67,6.7,116.5,111.5
Gary Trent Jr.,POR,SG,22.33,41,30.8,64.1,20.1,5.3,75,0.773,219,0.438,305,0.397,0.53,0.55,15,2.2,3.9,1.4,6.7,0.9,0.15,0.76,4.7,112,116.4
Marvin Bagley III,SAC,PF,22.18,43,25.9,53.9,23.5,9.7,134,0.575,382,0.55,108,0.343,0.542,0.554,14.1,7.4,15.9,1,5.8,0.49,0.49,1.37,7.3,108.9,110.5
Harrison Barnes,SAC,PF,28.96,58,36.3,75.5,17.2,11.1,235,0.83,386,0.567,256,0.391,0.575,0.626,16.1,6.6,10.2,3.5,13,0.74,0.19,1.6,7.9,122.3,117.4
Nemanja Bjelica,SAC,SF,33.02,26,16.9,35.2,19.3,14.3,42,0.762,92,0.565,58,0.293,0.517,0.555,7.2,3.8,12.6,1.9,15.3,0.31,0.08,1.08,8.8,109.8,109
Terence Davis,SAC,SF,24,27,21.5,44.8,22,11.5,37,0.784,101,0.535,145,0.372,0.549,0.57,11.1,3.3,8.4,1.7,11.3,1.04,0.26,1.26,7.4,106.5,111
De'Aaron Fox,SAC,PG,23.41,58,35.1,73.1,31,11.9,417,0.719,790,0.539,320,0.322,0.523,0.565,25.2,3.5,5.5,7.2,32.7,1.5,0.47,3,9.8,112.3,112.8
Kyle Guy,SAC,SG,23.77,31,7.6,15.8,19.7,10.2,20,0.8,42,0.381,46,0.283,0.403,0.449,2.8,1.1,8.3,1,17.8,0.19,0,0.35,7.7,98.5,112.5
Tyrese Haliburton,SAC,PG,21.21,58,30.1,62.7,18.1,12.5,56,0.857,323,0.529,296,0.409,0.569,0.585,13,3,5.5,5.3,24.6,1.33,0.48,1.59,7.9,117.8,116.9
Maurice Harkless,SAC,SF,28.02,26,24.9,52,12.6,10.5,41,0.805,79,0.582,73,0.247,0.48,0.526,6.9,3,6.6,1.4,7.2,1.08,0.65,0.77,4.9,105.6,109.3
Buddy Hield,SAC,SG,28.41,71,34.3,71.4,20.7,11.1,104,0.846,271,0.446,721,0.391,0.548,0.567,16.6,4.7,7.6,3.6,14.7,0.89,0.42,1.83,7.6,108.5,113.9
Richaun Holmes,SAC,PF,27.59,61,29.2,60.8,17.5,10.3,170,0.794,564,0.645,11,0.182,0.638,0.669,14.2,8.3,15.7,1.7,8.3,0.64,1.56,1.23,8,129.5,106.7
Justin James,SAC,SF,24.31,36,8.6,18,19.7,10.6,36,0.583,73,0.521,38,0.368,0.532,0.548,3.9,0.8,5.4,0.6,9.9,0.22,0.08,0.42,5.7,106.1,115.3
DaQuan Jeffries,SAC,SG,23.71,18,12.9,26.8,12.6,11.8,7,0.857,29,0.517,28,0.321,0.5,0.524,3.5,1.6,6.9,0.3,3.3,0.39,0.22,0.44,3.7,101.8,111.8
Damian Jones,SAC,C,25.88,17,20,41.7,12.7,14.9,35,0.714,66,0.682,4,0.25,0.664,0.691,6.9,4.5,12.5,1.4,9.4,0.53,1,0.88,7,130,109
Cory Joseph,SAC,PG,29.74,44,21.5,44.7,14.3,14,47,0.766,156,0.513,94,0.33,0.506,0.534,6.6,2.3,5.9,2.5,14.9,0.86,0.2,1,6.3,108.3,110.9
Louis King,SAC,PF,22.11,6,14.2,29.6,20.5,9.8,6,1,23,0.565,11,0.364,0.559,0.6,7.3,3,11.7,1.5,15.4,1.17,0.5,0.67,9,120.5,106.1
Chimezie Metu,SAC,PF,24.15,36,13.6,28.2,20,12.8,43,0.721,142,0.549,37,0.351,0.545,0.571,6.3,3.1,12.8,0.8,8.2,0.39,0.53,0.81,7.4,108.6,107.2
Jabari Parker,SAC,SF,26.17,3,9.1,19,15.8,30,0,0,6,0.667,1,0,0.571,0.571,2.7,2,12.2,0.3,5,0,0.33,1,5.2,82.7,105.6
Norvel Pelle,SAC,C,28.28,1,3.8,7.9,31.3,0,4,0.75,1,0,0,0,0,0.543,3,1,14.6,1,29.7,0,0,0,15.2,,
Jahmi'us Ramsey,SAC,PG,19.94,13,7.3,15.1,19.7,6.9,5,1,19,0.526,19,0.263,0.461,0.498,3.1,0.8,5.9,0.5,8.7,0.31,0.08,0.23,5.9,102,112.7
Glenn Robinson III,SAC,SF,27.35,23,16.1,33.5,14,9.2,23,0.913,55,0.473,44,0.364,0.505,0.554,5.3,2,6.8,0.9,7,0.17,0.13,0.48,5.3,112.1,116.8
Chris Silva,SAC,PF,24.66,4,2.4,4.9,18.1,25,0,0,3,0.333,0,0,0.333,0.333,0.5,0.5,11.7,0,0,0,0.25,0.25,0,,
Hassan Whiteside,SAC,PF,31.93,36,15.2,31.6,23.5,13.4,79,0.519,223,0.565,1,0,0.563,0.566,8.1,6,21.9,0.6,5.6,0.25,1.28,1.11,8.1,106.8,103.2
Robert Woodard II,SAC,SG,21.65,13,3.5,7.3,23.2,4.1,8,0.375,14,0.5,6,0.167,0.425,0.425,1.5,1.2,19.6,0.2,6.2,0,0.23,0.08,8.1,,
